Decision,LapStarted_Pre,Car1,Car2,P1_Pre,P2_Pre,P1_Post,P2_Post,LapDiff,LapsSincePit1_Pre,LapsSincePit2_Pre,LSPDiff,InLap1_Pre,InLap2_Pre,OutLapCompleted1_Pre,Stint1_Pre,OutLapCompleted2_Pre,Stint2_Pre,Retired2_Pre,LapStarted_Post,InLap1_Post,OutLapCompleted1_Post,Stint1_Post,Stint+11_Post,Retired1_Post,LapsSincePit1_Post,InLap2_Post,OutLapCompleted2_Post,Stint2_Post,Stint+12_Post,Retired2_Post,LapsSincePit2_Post
,2,20,21,15,13,10,18,9,1,1,0,1,0,0,1,0,1,0,13,0,0,2,3,0,10,0,1,2,3,0,1
,2,18,3,10,6,8,11,12,1,1,0,1,0,0,1,0,1,0,16,0,0,2,3,0,13,0,1,2,3,0,1
,2,20,3,15,6,7,11,12,1,1,0,1,0,0,1,0,1,0,16,0,0,2,3,0,13,0,1,2,3,0,1
,2,20,14,15,12,7,12,12,1,1,0,1,0,0,1,0,1,0,16,0,0,2,3,0,13,0,1,2,3,0,1
,16,2,98,5,4,7,9,12,15,15,0,1,0,0,1,0,1,0,30,0,0,2,3,0,13,0,1,2,3,0,1
,29,9,15,7,4,5,6,12,12,28,16,0,1,0,2,0,1,0,43,0,1,3,4,0,1,0,0,2,3,0,13
,29,9,20,7,6,5,7,12,12,26,14,0,1,0,2,0,2,0,43,0,1,3,4,0,1,0,0,3,4,0,13
,2,20,19,15,11,7,13,13,1,1,0,1,0,0,1,0,1,0,17,0,0,2,3,0,14,0,1,2,3,0,1
,2,18,9,10,1,6,7,14,1,1,0,1,0,0,1,0,1,0,18,0,0,2,3,0,15,0,1,2,3,0,1
,2,18,2,10,7,6,8,14,1,1,0,1,0,0,1,0,1,0,18,0,0,2,3,0,15,0,1,2,3,0,1
,2,20,9,15,1,5,7,14,1,1,0,1,0,0,1,0,1,0,18,0,0,2,3,0,15,0,1,2,3,0,1
,2,20,2,15,7,5,8,14,1,1,0,1,0,0,1,0,1,0,18,0,0,2,3,0,15,0,1,2,3,0,1
,14,3,98,7,4,8,9,14,13,13,0,1,0,0,1,0,1,0,30,0,0,2,3,0,15,0,1,2,3,0,1
,15,19,15,7,6,12,14,14,14,14,0,1,0,0,1,0,1,0,31,0,0,2,3,0,15,0,1,2,3,0,1
,14,3,15,7,6,7,14,15,13,13,0,1,0,0,1,0,1,0,31,0,0,2,3,0,16,0,1,2,3,0,1
,14,14,15,9,6,9,14,15,13,13,0,1,0,0,1,0,1,0,31,0,0,2,3,0,16,0,1,2,3,0,1
,15,18,19,9,7,10,12,15,12,14,2,0,1,0,2,0,1,0,32,0,1,3,4,0,1,0,0,2,3,0,16
,12,1,98,10,4,6,9,16,11,11,0,1,0,0,1,0,1,0,30,0,0,2,3,0,17,0,1,2,3,0,1
,61,8,10,15,10,16,18,16,24,0,24,1,0,0,3,0,5,0,79,0,0,4,5,0,17,0,1,6,7,0,1
,12,26,15,12,6,13,14,17,9,11,2,1,0,0,2,0,1,0,31,0,0,3,4,0,18,0,1,2,3,0,1
,12,26,20,12,11,13,16,17,9,9,0,1,0,0,2,0,2,0,31,0,0,3,4,0,18,0,1,3,4,0,1
,12,1,15,10,6,4,14,17,11,11,0,1,0,0,1,0,1,0,31,1,0,2,3,0,18,0,1,2,3,0,1
,11,10,15,12,6,11,14,18,8,10,2,1,0,0,2,0,1,0,31,0,0,3,4,0,19,0,1,2,3,0,1
,12,18,26,15,12,10,13,18,9,9,0,0,1,0,2,0,2,0,32,0,1,3,4,0,1,0,0,3,4,0,19
,12,18,8,15,14,10,17,18,9,11,2,0,1,0,2,0,1,0,32,0,1,3,4,0,1,0,0,2,3,0,19
,10,7,15,13,6,10,14,19,9,9,0,1,0,0,1,0,1,0,31,0,0,2,3,0,20,0,1,2,3,0,1
,11,18,12,17,16,10,18,19,8,8,0,0,1,0,2,0,2,0,32,0,1,3,4,0,1,1,0,3,4,0,20
,11,18,21,17,11,10,15,19,8,10,2,0,1,0,2,0,1,0,32,0,1,3,4,0,1,0,0,2,3,0,20
,37,3,28,4,2,7,8,19,22,7,15,1,0,0,2,0,2,0,58,0,0,3,4,0,20,0,1,3,4,0,1
,37,3,5,4,3,3,5,20,22,8,14,1,0,0,2,0,2,0,59,0,0,3,4,0,21,0,1,3,4,0,1
,37,15,26,9,8,13,15,20,7,24,17,0,1,0,2,0,3,0,59,0,1,3,4,0,1,1,0,4,5,0,21
,59,21,15,14,13,9,12,20,25,1,24,1,0,0,3,1,3,0,81,0,0,4,5,0,21,0,1,4,5,0,1
,58,1,15,6,5,5,12,21,26,0,26,1,0,0,3,0,3,0,81,0,0,4,5,0,22,0,1,4,5,0,1
,36,18,14,7,6,7,8,22,5,21,16,0,1,0,3,0,2,0,60,0,1,4,5,0,1,1,0,3,4,0,23
,36,1,8,16,13,13,16,22,4,23,19,0,1,0,3,0,2,0,60,0,1,4,5,0,1,0,0,3,4,0,23
,33,2,28,4,2,4,8,23,16,3,13,1,0,0,2,0,2,0,58,0,0,3,4,0,24,0,1,3,4,0,1
,35,18,10,9,8,7,9,23,4,23,19,0,1,0,3,0,3,0,60,0,1,4,5,0,1,1,0,4,5,0,24
,35,18,7,9,7,7,11,23,4,24,20,0,1,0,3,0,2,0,60,0,1,4,5,0,1,1,0,3,4,0,24
,33,2,5,4,3,2,5,24,16,4,12,1,0,0,2,0,2,0,59,0,0,3,4,0,25,0,1,3,4,0,1
,31,1,28,4,2,6,8,25,18,1,17,1,0,0,2,1,2,0,58,1,0,3,4,0,26,0,1,3,4,0,1
,2,18,5,10,2,2,5,26,1,1,0,1,0,0,1,0,1,0,30,1,0,2,3,0,27,0,1,2,3,0,1
,2,18,98,10,5,2,9,26,1,1,0,1,0,0,1,0,1,0,30,1,0,2,3,0,27,0,1,2,3,0,1
,30,18,28,2,1,2,8,26,27,0,27,1,0,0,2,0,2,0,58,1,0,3,4,0,27,0,1,3,4,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LapDiff = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pit Overtake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LapDiff < ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InLap1_Pre = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Undercut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LapDiff < ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InLap2_Pre = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Overcut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
