,Team,Chassis,Engine,Tires,{{Tooltip|No.|Car number}},Driver(s),Rounds,Season,Round(s),Drivers,,#,No,Tire,Ref(s),,No.
43,{{flagicon|USA}} [[Bill Tempero|Tempero]]–Giuffre Racing,[[Lola T92/00]]<br />[[Lola T93/00]]{{refn|name=Kudrave|group=N|Used by [[David Kudrave]].}},[[Buick Indy V6 engine|Buick]],{{Goodyear}},15,{{flagicon|USA}} [[Bill Tempero]],1,1996,,,,,,,,,
44,{{flagicon|USA}} [[Bill Tempero|Tempero]]–Giuffre Racing,[[Lola T92/00]]<br />[[Lola T93/00]]{{refn|name=Kudrave|group=N|Used by [[David Kudrave]].}},[[Buick Indy V6 engine|Buick]],{{Goodyear}},15,{{flagicon|USA}} [[David Kudrave]],2,1996,,,,,,,,,
45,{{flagicon|USA}} [[Bill Tempero|Tempero]]–Giuffre Racing,[[Lola T92/00]]<br />[[Lola T93/00]]{{refn|name=Kudrave|group=N|Used by [[David Kudrave]].}},[[Buick Indy V6 engine|Buick]],{{Goodyear}},15,{{flagicon|GBR}} [[Justin Bell]],3,1996,,,,,,,,,
46,{{flagicon|USA}} [[Bill Tempero|Tempero]]–Giuffre Racing,[[Lola T92/00]]<br />[[Lola T93/00]]{{refn|name=Kudrave|group=N|Used by [[David Kudrave]].}},[[Buick Indy V6 engine|Buick]],{{Goodyear}},15,{{flagicon|USA}} [[Joe Gosek]]{{refn|name=Gosek|group=N}},3,1996,,,,,,,,,
47,{{flagicon|USA}} [[Bill Tempero|Tempero]]–Giuffre Racing,[[Lola T92/00]]<br />[[Lola T93/00]]{{refn|name=Kudrave|group=N|Used by [[David Kudrave]].}},[[Buick Indy V6 engine|Buick]],{{Goodyear}},25,{{flagicon|USA}} [[David Kudrave]],1,1996,,,,,,,,,
48,{{flagicon|USA}} [[Bill Tempero|Tempero]]–Giuffre Racing,[[Lola T92/00]]<br />[[Lola T93/00]]{{refn|name=Kudrave|group=N|Used by [[David Kudrave]].}},[[Buick Indy V6 engine|Buick]],{{Goodyear}},25,{{flagicon|USA}} [[Racin Gardner]],2,1996,,,,,,,,,
49,{{flagicon|USA}} [[Bill Tempero|Tempero]]–Giuffre Racing,[[Lola T92/00]]<br />[[Lola T93/00]]{{refn|name=Kudrave|group=N|Used by [[David Kudrave]].}},[[Buick Indy V6 engine|Buick]],{{Goodyear}},25,{{flagicon|USA}} [[Billy Roe]],2,1996,,,,,,,,,
50,{{flagicon|USA}} [[Walker Racing]],[[Reynard 95I]],[[Ford-Cosworth Indy V8 engine|Ford-Cosworth]],{{Goodyear}},60,{{flagicon|USA}} [[Mike Groff]],3,1996,,,,,,,,,
51,{{flagicon|USA}} Zunne Group Racing,[[Lola T93/00]],[[Buick Indy V6 engine|Buick]],{{Firestone}},24,{{flagicon|USA}} [[Randy Tolsma]],3,1996,,,,,,,,,
52,{{flagicon|USA}} Zunne Group Racing,[[Lola T94/00]],[[Ford-Cosworth Indy V8 engine|Ford-Cosworth]],{{Firestone}},45,{{flagicon|USA}} [[Robbie Buhl]],2,1996,,,,,,,,,
53,{{flagicon|USA}} Zunne Group Racing,[[Lola T94/00]],[[Ford-Cosworth Indy V8 engine|Ford-Cosworth]],{{Goodyear}},45,{{flagicon|USA}} [[Lyn St. James]],3,1996,,,,,,,,,
0,{{flagicon|USA}} [[A. J. Foyt Enterprises]],[[Dallara IR-7|Dallara]],[[Oldsmobile Aurora Indy V8 engine|Oldsmobile]],{{Goodyear}},11,{{flagicon|USA}} [[Billy Boat]]{{refn|name=Boat|group=N|Injured at [[1998 New England 200|New Hampshire]].}},,1998,"1–5, 8–11",,,,,,,,
1,{{flagicon|USA}} [[A. J. Foyt Enterprises]],[[Dallara IR-7|Dallara]],[[Oldsmobile Aurora Indy V8 engine|Oldsmobile]],{{Goodyear}},11,{{flagicon|USA}} [[Greg Ray]],,1998,6–7,,,,,,,,
2,{{flagicon|USA}} [[A. J. Foyt Enterprises]],[[Dallara IR-7|Dallara]],[[Oldsmobile Aurora Indy V8 engine|Oldsmobile]],{{Goodyear}},14,{{flagicon|Sweden}} [[Kenny Bräck]],,1998,All,,,,,,,,
3,{{flagicon|USA}} [[Beck Motorsports]],[[Dallara IR-7|Dallara]],[[Nissan VH engine|Infiniti]],{{Firestone}},54,{{flagicon|Japan}} [[Hideshi Matsuda]],,1998,3,,,,,,,,
4,{{flagicon|USA}} Blueprint Racing,[[Dallara IR-7|Dallara]],[[Oldsmobile Aurora Indy V8 engine|Oldsmobile]],{{Firestone}},27,{{flagicon|USA}} [[Robbie Groff]],,1998,1–2,,,,,,,,
5,{{flagicon|USA}} Blueprint Racing,[[Dallara IR-7|Dallara]],[[Oldsmobile Aurora Indy V8 engine|Oldsmobile]],{{Firestone}},27,{{flagicon|Canada}} [[Claude Bourbonnais]],,1998,3,,,,,,,,
6,{{flagicon|USA}} Blueprint Racing,[[Dallara IR-7|Dallara]],[[Oldsmobile Aurora Indy V8 engine|Oldsmobile]],{{Firestone}},27,{{flagicon|USA}} [[Billy Roe]],,1998,4,,,,,,,,
7,{{flagicon|USA}} [[Bradley Motorsports]],[[G-Force GF01|G-Force]]<br>[[Dallara IR-7|Dallara]]{{refn|name=Calkins|group=N|Used from [[1998 Atlanta 500 Classic|Atlanta]] onwards.}},[[Oldsmobile Aurora Indy V8 engine|Oldsmobile]],{{Goodyear}},12,{{flagicon|USA}} [[Buzz Calkins]],,1998,"1–6, 8–11",,,,,,,,
