,Rd,Date,Race Name,Track,Location,Season,Rnd,City,,Race name,Rd.,Original date,Original<br>date,Time (ET)
9,,August 12,[[Kentucky Indy 300|Belterra Resort Indy 300]],[[Kentucky Speedway]],"[[Sparta, Kentucky]]",2001,10,,,,,,,
10,,August 26,[[Emerson Indy 250|Gateway Indy 250]],[[Gateway International Raceway]],"[[Madison, Illinois]]",2001,11,,,,,,,
11,,September 2,[[Peak Antifreeze & Motor Oil Indy 300|Delphi Indy 300]],[[Chicagoland Speedway]],"[[Joliet, Illinois]]",2001,12,,,,,,,
12,,October 6*,[[Firestone 550|Chevy 500]],[[Texas Motor Speedway]],"[[Fort Worth, Texas]]",2001,13,,,,,,,
13,,"'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 2001|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/2001|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref>{{cite news|title=Indy Racing League|url=https://www.newspapers.com/article/kenosha-news-2001-indy-racing-league-res/135330704/|work=[[Kenosha News]]|page=B4|date=October 26, 2001|access-date=November 17, 2023|via=[[Newspapers.com]] {{open access}}}}</ref>","'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 2001|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/2001|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref>{{cite news|title=Indy Racing League|url=https://www.newspapers.com/article/kenosha-news-2001-indy-racing-league-res/135330704/|work=[[Kenosha News]]|page=B4|date=October 26, 2001|access-date=November 17, 2023|via=[[Newspapers.com]] {{open access}}}}</ref>","'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 2001|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/2001|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref>{{cite news|title=Indy Racing League|url=https://www.newspapers.com/article/kenosha-news-2001-indy-racing-league-res/135330704/|work=[[Kenosha News]]|page=B4|date=October 26, 2001|access-date=November 17, 2023|via=[[Newspapers.com]] {{open access}}}}</ref>","'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 2001|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/2001|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref>{{cite news|title=Indy Racing League|url=https://www.newspapers.com/article/kenosha-news-2001-indy-racing-league-res/135330704/|work=[[Kenosha News]]|page=B4|date=October 26, 2001|access-date=November 17, 2023|via=[[Newspapers.com]] {{open access}}}}</ref>",2001,"'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 2001|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/2001|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref>{{cite news|title=Indy Racing League|url=https://www.newspapers.com/article/kenosha-news-2001-indy-racing-league-res/135330704/|work=[[Kenosha News]]|page=B4|date=October 26, 2001|access-date=November 17, 2023|via=[[Newspapers.com]] {{open access}}}}</ref>",,,,,,,
0,,March 2,[[Homestead–Miami Indy 300|Grand Prix of Miami]],[[Homestead-Miami Speedway]],,2002,1,"[[Homestead, Florida]]",,,,,,
1,,March 17,[[XM Satellite Radio Indy 200|Bombardier ATV 200]],[[Phoenix International Raceway]],,2002,2,"[[Phoenix, Arizona]]",,,,,,
2,,March 24,[[MAVTV 500|Yamaha Indy 400]],[[Auto Club Speedway|California Speedway]],,2002,3,"[[Fontana, California]]",,,,,,
3,,April 21,[[Firestone Indy 225]],[[Nazareth Speedway]],,2002,4,"[[Nazareth, Pennsylvania]]",,,,,,
4,,May 26,[[2002 Indianapolis 500|86th Indianapolis 500]],[[Indianapolis Motor Speedway]],,2002,5,"[[Speedway, Indiana]]",,,,,,
