,Rd,Date,Race Name,Track,Location,Season,Rnd,City,,Race name,Rd.,Original date,Original<br>date,Time (ET)
5,,June 3,,{{Color box|peachpuff|S|border=silver}} [[Detroit Belle Isle street circuit|Belle Isle]],"[[Detroit|Detroit, Michigan]]",2012,6,,,[[Detroit Belle Isle Grand Prix|Chevrolet Detroit Belle Isle Grand Prix]],,,,
6,,June 9,,{{Color box|white|O|border=silver}} [[Texas Motor Speedway]],"[[Fort Worth, Texas]]",2012,7,,,[[Firestone 550]],,,,
7,,June 16,,{{Color box|white|O|border=silver}} [[Milwaukee Mile]],"[[West Allis, Wisconsin]]",2012,8,,,[[Milwaukee IndyFest]],,,,
8,,June 23,,{{Color box|white|O|border=silver}} [[Iowa Speedway]],"[[Newton, Iowa]]",2012,9,,,[[Iowa Corn Indy 250]],,,,
9,,July 8,,{{Color box|peachpuff|S|border=silver}} [[Exhibition Place]],"[[Toronto|Toronto, Ontario]]",2012,10,,,[[Honda Indy Toronto]],,,,
10,,July 22,,{{color box|lightblue|R|border=silver}} [[Edmonton City Centre Airport Speedway]],"[[Edmonton|Edmonton, Alberta]]",2012,11,,,[[Edmonton Indy]],,,,
11,,August 5,,{{color box|lightblue|R|border=silver}} [[Mid-Ohio Sports Car Course]],"[[Lexington, Ohio]]",2012,12,,,[[Honda Indy 200|Honda Indy 200 at Mid-Ohio]],,,,
12,,August 19,,{{Color box|peachpuff|S|border=silver}} [[Qingdao|Streets of Qingdao]],"[[Qingdao|Qingdao, China]]",2012,C,,,Indy Qingdao 600,,,,
13,,August 26,,{{color box|lightblue|R|border=silver}} [[Sonoma Raceway]],"[[Sonoma, California]]",2012,13,,,[[GoPro Indy Grand Prix of Sonoma]],,,,
14,,September 2,,{{Color box|peachpuff|S|border=silver}} [[Inner Harbor|Streets of Baltimore]],"[[Baltimore|Baltimore, Maryland]]",2012,14,,,[[Grand Prix of Baltimore]],,,,
15,,September 15,,{{Color box|white|O|border=silver}} [[Auto Club Speedway]],"[[Fontana, California]]",2012,15,,,[[MAVTV 500|MAVTV 500 IndyCar World Championships]],,,,
0,,March 24,,"{{Color box|peachpuff|S|border=silver}} [[St. Petersburg, Florida|Streets of St. Petersburg]]","[[St. Petersburg, Florida]]",2013,1,,,"[[Honda Grand Prix of St. Petersburg]]<ref>{{cite news|url=http://www.indycar.com/News/2012/06-June/6-22-St-Pete-races-through-2017|title=Event Extension|publisher=indycar.com|date=June 22, 2012|access-date=June 24, 2012}}</ref>",,,,
1,,April 7,,{{color box|lightblue|R|border=silver}} [[Barber Motorsports Park]],"[[Birmingham, Alabama]]",2013,2,,,[[Indy Grand Prix of Alabama|Honda Indy Grand Prix of Alabama]]<ref>[http://www.indycar.com/News/2012/April/4-1-Barber-extension-in-the-bag.aspx Successful Barber event is Birmingham's 'Derby'<!-- Bot generated title -->]</ref>,,,,
2,,April 21,,"{{Color box|peachpuff|S|border=silver}} [[Long Beach, California|Streets of Long Beach]]","[[Long Beach, California]]",2013,3,,,"[[Grand Prix of Long Beach|39th Toyota Grand Prix of Long Beach]]<ref>{{cite news | last = Oreovicz | first = John | title = Champ Car finale signals new start for Long Beach Grand Prix | work = [[ESPN]] | date = April 16, 2008 | url = http://sports.espn.go.com/rpm/racing/indycar/columns/story?columnist=oreovicz_john&id=3349425 | access-date = March 12, 2012}}</ref>",,,,
3,,May 5,,{{Color box|peachpuff|S|border=silver}} [[Anhembi Sambadrome|Streets of São Paulo]],"[[São Paulo, Brazil]]",2013,4,,,"[[São Paulo Indy 300|Itaipava São Paulo Indy 300]]<ref>{{cite news|url=https://www.usatoday.com/sports/motor/irl/2010-03-12-indycar-invades-brazil_N.htm?csp=34sports|title=Brazil and its drivers pumped as IndyCar invades Sao Paulo|work=USA Today|date=March 12, 2010|access-date=March 12, 2012|first1=Curt|last1=Cavin}}</ref>",,,,
4,,May 26,,{{Color box|white|O|border=silver}} [[Indianapolis Motor Speedway]],"[[Speedway, Indiana]]",2013,5,,,'''[[2013 Indianapolis 500|97th Indianapolis 500-Mile Race]]''',,,,
5,,June 1,,{{Color box|peachpuff|S|border=silver}} [[Detroit Belle Isle street circuit]],"[[Detroit|Detroit, Michigan]]",2013,6,,,"[[Detroit Belle Isle Grand Prix|Chevrolet Indy Dual in Detroit]]<ref name=""autoweek.com"">{{cite news|url=http://www.autoweek.com/article/20120606/indycar/120609900|title=No change in ticket prices for 2013 Belle Isle Grand Prix|date=June 6, 2012|access-date=July 13, 2012|archive-url=https://web.archive.org/web/20120614050303/http://www.autoweek.com/article/20120606/INDYCAR/120609900|archive-date=June 14, 2012|url-status=dead}}</ref>",,,,
6,,June 2,,{{Color box|peachpuff|S|border=silver}} [[Detroit Belle Isle street circuit]],"[[Detroit|Detroit, Michigan]]",2013,7,,,"[[Detroit Belle Isle Grand Prix|Chevrolet Indy Dual in Detroit]]<ref name=""autoweek.com"">{{cite news|url=http://www.autoweek.com/article/20120606/indycar/120609900|title=No change in ticket prices for 2013 Belle Isle Grand Prix|date=June 6, 2012|access-date=July 13, 2012|archive-url=https://web.archive.org/web/20120614050303/http://www.autoweek.com/article/20120606/INDYCAR/120609900|archive-date=June 14, 2012|url-status=dead}}</ref>",,,,
7,,June 8,,{{Color box|white|O|border=silver}} [[Texas Motor Speedway]],"[[Fort Worth, Texas]]",2013,8,,,"[[Firestone 550]]<ref>{{cite web|url=http://www.dallasnews.com/sports/more-sports/motor-sports/headlines/20120820-fraley-indycar-settlement-gives-tms-three-big-weekends-again-in-2013.ece|title=Fraley: IndyCar settlement gives TMS three big weekends again in 2013|first=Gerry|last=Fraley|publisher=[[The Dallas Morning News]]|date=August 20, 2012|access-date=January 16, 2013|archive-date=September 4, 2012|archive-url=https://web.archive.org/web/20120904145043/http://www.dallasnews.com/sports/more-sports/motor-sports/headlines/20120820-fraley-indycar-settlement-gives-tms-three-big-weekends-again-in-2013.ece|url-status=dead}}</ref>",,,,
8,,June 15,,{{Color box|white|O|border=silver}} [[Milwaukee Mile]],"[[West Allis, Wisconsin]]",2013,9,,,"[[Milwaukee IndyFest]]<ref>{{cite news|url=http://www.indycar.com/News/2012/06-June/6-16-Notes-INDYCAR-returns-to-Milwaukee-in-2013|title=Notes: Milwaukee IndyFest is on 2013 June schedule|first=Dave|last=Lewandowski|work=[[IndyCar Series]]|publisher=[[IndyCar]]|date=June 16, 2012|access-date=June 16, 2012}}</ref>",,,,
9,,June 23,,{{Color box|white|O|border=silver}} [[Iowa Speedway]],"[[Newton, Iowa]]",2013,10,,,"[[Iowa Corn Indy 250]]<ref>{{cite web|url=http://www.iowaspeedway.com/aspx/AboutSpeedway/News.aspx?id=1259|title=IOWA SPEEDWAY ANNOUNCES 2013 EVENT SCHEDULE|publisher=[[Iowa Speedway]]|date=August 29, 2012|access-date=January 22, 2013|archive-url=https://web.archive.org/web/20150606195703/http://www.iowaspeedway.com/aspx/AboutSpeedway/News.aspx?id=1259|archive-date=June 6, 2015|url-status=dead}}</ref>",,,,
10,,July 7,,{{Color box|white|O|border=silver}} [[Pocono Raceway]],"[[Long Pond, Pennsylvania]]",2013,11,,,"'''[[Pocono IndyCar 400]]'''<ref>{{cite news|url=http://www.mcall.com/sports/mc-pocono-raceway-sponsor-indycar-20130620,0,6285871.story|title=Sunoco to sponsor IndyCar race at Pocono Raceway|first=Nick|last=Fierro|publisher=[[The Morning Call]]|date=June 20, 2013|access-date=June 21, 2013}}{{Dead link|date=May 2020 |bot=InternetArchiveBot |fix-attempted=yes }}</ref>",,,,
11,,July 13,,{{Color box|peachpuff|S|border=silver}} [[Exhibition Place]],"[[Toronto|Toronto, Ontario]]",2013,12,,,[[Honda Indy Toronto]]<ref>[http://www.indycar.com/News/2012/05-May/5-14-Honda-Indy-Toronto-gets-extension Honda Indy Toronto extended through 2014<!-- Bot generated title -->]</ref>,,,,
12,,July 14,,{{Color box|peachpuff|S|border=silver}} [[Exhibition Place]],"[[Toronto|Toronto, Ontario]]",2013,13,,,[[Honda Indy Toronto]]<ref>[http://www.indycar.com/News/2012/05-May/5-14-Honda-Indy-Toronto-gets-extension Honda Indy Toronto extended through 2014<!-- Bot generated title -->]</ref>,,,,
13,,August 4,,{{color box|lightblue|R|border=silver}} [[Mid-Ohio Sports Car Course]],"[[Lexington, Ohio]]",2013,14,,,[[Honda Indy 200|Honda Indy 200 at Mid-Ohio]],,,,
14,,August 25,,{{color box|lightblue|R|border=silver}} [[Sonoma Raceway]],"[[Sonoma, California]]",2013,15,,,[[GoPro Indy Grand Prix of Sonoma]],,,,
15,,September 1,,"{{Color box|peachpuff|S|border=silver}} [[Baltimore, Maryland|Streets of Baltimore]]","[[Baltimore, Maryland]]",2013,16,,,[[Grand Prix of Baltimore]],,,,
16,,October 5,,{{Color box|peachpuff|S|border=silver}} [[Reliant Park]],"[[Houston|Houston, Texas]]",2013,17,,,[[Grand Prix of Houston|Shell and Pennzoil Grand Prix of Houston]],,,,
17,,October 6,,{{Color box|peachpuff|S|border=silver}} [[Reliant Park]],"[[Houston|Houston, Texas]]",2013,18,,,[[Grand Prix of Houston|Shell and Pennzoil Grand Prix of Houston]],,,,
18,,October 19,,{{Color box|white|O|border=silver}} [[Auto Club Speedway]],"[[Fontana, California]]",2013,19,,,'''[[MAVTV 500|MAVTV 500 IndyCar World Championships]]''',,,,
0,,March 30,,"{{Color box|peachpuff|S|border=silver}} [[St. Petersburg, Florida|Streets of St. Petersburg]]","[[St. Petersburg, Florida]]",2014,1,,,[[Grand Prix of St. Petersburg|Firestone Grand Prix of St. Petersburg]],,,,
1,,April 13,,"{{Color box|peachpuff|S|border=silver}} [[Long Beach, California|Streets of Long Beach]]","[[Long Beach, California]]",2014,2,,,[[Grand Prix of Long Beach|40th Toyota Grand Prix of Long Beach]],,,,
2,,April 27,,{{color box|lightblue|R|border=silver}} [[Barber Motorsports Park]],"[[Birmingham, Alabama]]",2014,3,,,[[Indy Grand Prix of Alabama|Honda Indy Grand Prix of Alabama]],,,,
3,,May 10,,{{color box|lightblue|R|border=silver}} [[Indianapolis Motor Speedway|Indianapolis Motor Speedway Road Course]],"[[Speedway, Indiana]]",2014,4,,,"[[Grand Prix of Indianapolis]]<ref>{{cite web|last=DiZinno|first=Tony|url=http://motorsportstalk.nbcsports.com/2013/10/01/grand-prix-of-indianapolis-set-for-may-10-2014-on-revised-course/related/|title=Grand Prix of Indianapolis set for May 10, 2014 on revised course|publisher=[[NBC Sports]]|date=October 1, 2013|access-date=October 1, 2013}}</ref>",,,,
4,,May 25,,{{Color box|white|O|border=silver}} [[Indianapolis Motor Speedway]],"[[Speedway, Indiana]]",2014,5,,,'''[[2014 Indianapolis 500|98th Indianapolis 500-Mile Race]]''',,,,
5,,May 31,,{{Color box|peachpuff|S|border=silver}} [[Detroit Belle Isle street circuit|Belle Isle]],"[[Detroit|Detroit, Michigan]]",2014,6,,,[[Detroit Belle Isle Grand Prix|Chevrolet Indy Dual in Detroit presented by Quicken Loans]],,,,
6,,June 1,,{{Color box|peachpuff|S|border=silver}} [[Detroit Belle Isle street circuit|Belle Isle]],"[[Detroit|Detroit, Michigan]]",2014,7,,,[[Detroit Belle Isle Grand Prix|Chevrolet Indy Dual in Detroit presented by Quicken Loans]],,,,
7,,June 7,,{{Color box|white|O|border=silver}} [[Texas Motor Speedway]],"[[Fort Worth, Texas]]",2014,8,,,[[DXC Technology 600|Firestone 600K]],,,,
8,,June 28,,{{Color box|peachpuff|S|border=silver}} [[Reliant Park]],"[[Houston|Houston, Texas]]",2014,9,,,[[Grand Prix of Houston|Shell and Pennzoil Grand Prix of Houston]],,,,
9,,June 29,,{{Color box|peachpuff|S|border=silver}} [[Reliant Park]],"[[Houston|Houston, Texas]]",2014,10,,,[[Grand Prix of Houston|Shell and Pennzoil Grand Prix of Houston]],,,,
10,,July 6,,{{Color box|white|O|border=silver}} [[Pocono Raceway]],"[[Long Pond, Pennsylvania]]",2014,11,,,'''[[Pocono IndyCar 500|Pocono IndyCar 500 fueled by Sunoco]]''',,,,
11,,July 12,,{{Color box|white|O|border=silver}} [[Iowa Speedway]],"[[Newton, Iowa]]",2014,12,,,[[Iowa Corn Indy 300|Iowa Corn Indy 300 presented by DeKalb]],,,,
12,,July 20,,{{Color box|peachpuff|S|border=silver}} [[Exhibition Place]],"[[Toronto|Toronto, Ontario]]",2014,13,,,"[[Honda Indy Toronto]]{{efn|Owing to persistent rain, the first race of the double-header&nbsp;– due to be held on July 19&nbsp;– was postponed to the following day.<ref>{{cite news|url=http://www.racer.com/indycar/item/105690-indycar-toronto-race-1-postponed|title=Toronto race 1 postponed|date=July 19, 2014|access-date=July 22, 2014|work=[[Racer (magazine)|Racer]]|publisher=[[Haymarket Media Group|Haymarket Publications]]|first=Robin|last=Miller|author-link=Robin Miller (journalist)|archive-url=https://web.archive.org/web/20140721185816/http://www.racer.com/indycar/item/105690-indycar-toronto-race-1-postponed|archive-date=July 21, 2014|url-status=dead}}</ref>}}",,,,
13,,July 20,,{{Color box|peachpuff|S|border=silver}} [[Exhibition Place]],"[[Toronto|Toronto, Ontario]]",2014,14,,,"[[Honda Indy Toronto]]{{efn|Owing to persistent rain, the first race of the double-header&nbsp;– due to be held on July 19&nbsp;– was postponed to the following day.<ref>{{cite news|url=http://www.racer.com/indycar/item/105690-indycar-toronto-race-1-postponed|title=Toronto race 1 postponed|date=July 19, 2014|access-date=July 22, 2014|work=[[Racer (magazine)|Racer]]|publisher=[[Haymarket Media Group|Haymarket Publications]]|first=Robin|last=Miller|author-link=Robin Miller (journalist)|archive-url=https://web.archive.org/web/20140721185816/http://www.racer.com/indycar/item/105690-indycar-toronto-race-1-postponed|archive-date=July 21, 2014|url-status=dead}}</ref>}}",,,,
14,,August 3,,{{color box|lightblue|R|border=silver}} [[Mid-Ohio Sports Car Course]],"[[Lexington, Ohio]]",2014,15,,,[[Honda Indy 200|Honda Indy 200 at Mid-Ohio]],,,,
15,,August 17,,{{Color box|white|O|border=silver}} [[The Milwaukee Mile]],"[[West Allis, Wisconsin]]",2014,16,,,"[[ABC Supply Wisconsin 250]]<ref>{{cite web|url=http://motorsportstalk.nbcsports.com/2013/10/16/abc-supply-co-steps-up-for-milwaukee-indyfest-which-moves-to-august/|title=ABC Supply Co. steps up for Milwaukee IndyFest, which moves to August|publisher=[[NBC Sports]]|work=Tony DiZinno|date=October 16, 2013|access-date=October 17, 2013}}</ref>",,,,
16,,August 24,,{{color box|lightblue|R|border=silver}} [[Sonoma Raceway]],"[[Sonoma, California]]",2014,17,,,[[GoPro Grand Prix of Sonoma]],,,,
17,,August 30,,{{Color box|white|O|border=silver}} [[Auto Club Speedway]],"[[Fontana, California]]",2014,18,,,'''[[MAVTV 500|MAVTV 500 IndyCar World Championships]]''',,,,
0,,March 8,,{{color box|lightblue|R|border=silver}} [[Autódromo Internacional Nelson Piquet (Brasília)|Autódromo Internacional Nelson Piquet]],,2015,,"[[Brasília]], [[Brazil]]",,[[Autódromo Internacional Nelson Piquet (Brasília)|Itaipava Brasilia Indy 300]],C,,,
1,,March 29,,{{Color box|peachpuff|S|border=silver}} [[St. Petersburg Street Circuit|Streets of St. Petersburg]],,2015,,"[[St. Petersburg, Florida]]",,[[Grand Prix of St. Petersburg|Firestone Grand Prix of St. Petersburg]],1,,,
2,,April 12,,{{color box|lightblue|R|border=silver}} [[NOLA Motorsports Park]],,2015,,"[[Avondale, Louisiana]]",,[[Indy Grand Prix of Louisiana]],2,,,
3,,April 19,,{{Color box|peachpuff|S|border=silver}} [[Long Beach Street Circuit|Streets of Long Beach]],,2015,,"[[Long Beach, California]]",,[[Toyota Grand Prix of Long Beach]],3,,,
4,,April 26,,{{color box|lightblue|R|border=silver}} [[Barber Motorsports Park]],,2015,,"[[Birmingham, Alabama]]",,[[Honda Indy Grand Prix of Alabama]],4,,,
5,,May 9,,{{color box|lightblue|R|border=silver}} [[Indianapolis Motor Speedway|Indianapolis Motor Speedway Road Course]],,2015,,"[[Speedway, Indiana]]",,[[Grand Prix of Indianapolis|Angie's List Grand Prix of Indianapolis]],5,,,
6,,'''May 24''',,{{Color box|white|O|border=silver}} '''[[Indianapolis Motor Speedway]]''',,2015,,"'''[[Speedway, Indiana]]'''",,'''[[2015 Indianapolis 500|99th Indianapolis 500]]''',6,,,
7,,May 30,,{{Color box|peachpuff|S|border=silver}} [[Raceway at Belle Isle Park]],,2015,,"[[Detroit|Detroit, Michigan]]",,[[Detroit Belle Isle Grand Prix|Chevrolet Indy Dual in Detroit]],7,,,
8,,May 31,,{{Color box|peachpuff|S|border=silver}} [[Raceway at Belle Isle Park]],,2015,,"[[Detroit|Detroit, Michigan]]",,[[Detroit Belle Isle Grand Prix|Chevrolet Indy Dual in Detroit]],8,,,
9,,June 6,,{{Color box|white|O|border=silver}} [[Texas Motor Speedway]],,2015,,"[[Fort Worth, Texas]]",,[[Firestone 600]],9,,,
10,,June 14,,{{Color box|peachpuff|S|border=silver}} [[Exhibition Place]],,2015,,"[[Toronto, Ontario]]",,[[Honda Indy Toronto]],10,,,
11,,'''June 27''',,{{Color box|white|O|border=silver}} '''[[Auto Club Speedway]]''',,2015,,"'''[[Fontana, California]]'''",,'''[[MAVTV 500]]''',11,,,
12,,July 12,,{{Color box|white|O|border=silver}} [[The Milwaukee Mile]],,2015,,"[[West Allis, Wisconsin]]",,[[ABC Supply Wisconsin 250]],12,,,
13,,July 18,,{{Color box|white|O|border=silver}} [[Iowa Speedway]],,2015,,"[[Newton, Iowa]]",,[[Iowa Corn Indy 300|Iowa Corn 300]],13,,,
14,,August 2,,{{color box|lightblue|R|border=silver}} [[Mid-Ohio Sports Car Course]],,2015,,"[[Lexington, Ohio]]",,[[Honda Indy 200]],14,,,
15,,'''August 23''',,{{Color box|white|O|border=silver}} '''[[Pocono Raceway]]''',,2015,,"'''[[Long Pond, Pennsylvania]]'''",,'''[[ABC Supply 500]]''',15,,,
16,,August 30,,{{color box|lightblue|R|border=silver}} [[Sonoma Raceway]],,2015,,"[[Sonoma, California]]",,[[Indy Grand Prix of Sonoma|GoPro Grand Prix of Sonoma]],16,,,
0,,,,{{Color box|peachpuff|S|border=silver}} [[Grand Prix of Boston|Streets of Boston]],,2016,,"[[Boston|Boston, Massachusetts]]",,[[Grand Prix of Boston]],,September 4,,
1,,,,"References:<ref name="":0"" /><ref name="":1"" /><ref name="":2"" />",,2016,,"References:<ref name="":0"" /><ref name="":1"" /><ref name="":2"" />",,"References:<ref name="":0"" /><ref name="":1"" /><ref name="":2"" />",,"References:<ref name="":0"" /><ref name="":1"" /><ref name="":2"" />",,
0,,March 12,,{{Color box|peachpuff|S|border=silver}} [[Firestone Grand Prix of St. Petersburg|Streets of St. Petersburg]],,2017,,"[[St. Petersburg, Florida]]",,[[Firestone Grand Prix of St. Petersburg]],1,,,
1,,April 9,,"{{Color box|peachpuff|S|border=silver}} [[Long Beach, California|Streets of Long Beach]]",,2017,,"[[Long Beach, California]]",,[[Grand Prix of Long Beach|Toyota Grand Prix of Long Beach]],2,,,
2,,April 23,,{{color box|lightblue|R|border=silver}} [[Barber Motorsports Park]],,2017,,"[[Birmingham, Alabama]]",,[[Honda Indy Grand Prix of Alabama]],3,,,
3,,April 29,,{{Color box|white|O|border=silver}} [[ISM Raceway|Phoenix International Raceway]],,2017,,"[[Avondale, Arizona]]",,[[Desert Diamond West Valley Phoenix Grand Prix]],4,,,
4,,May 13,,{{color box|lightblue|R|border=silver}} [[Indianapolis Motor Speedway|Indianapolis Motor Speedway Road Course]],,2017,,"[[Speedway, Indiana]]",,[[IndyCar Grand Prix]],5,,,
5,,May 28,,{{Color box|white|O|border=silver}} [[Indianapolis Motor Speedway]],,2017,,"[[Speedway, Indiana]]",,[[2017 Indianapolis 500|101st Indianapolis 500 presented by PennGrade]],6,,,
6,,June 3,,{{Color box|peachpuff|S|border=silver}} [[Detroit Belle Isle street circuit|The Raceway at Belle Isle Park]],,2017,,"[[Detroit|Detroit, Michigan]]",,[[Detroit Grand Prix (IndyCar)|Chevrolet Detroit Grand Prix presented by Lear Corporation]],7,,,
7,,June 4,,{{Color box|peachpuff|S|border=silver}} [[Detroit Belle Isle street circuit|The Raceway at Belle Isle Park]],,2017,,"[[Detroit|Detroit, Michigan]]",,[[Detroit Grand Prix (IndyCar)|Chevrolet Detroit Grand Prix presented by Lear Corporation]],8,,,
8,,June 10,,{{Color box|white|O|border=silver}} [[Texas Motor Speedway]],,2017,,"[[Fort Worth, Texas]]",,[[DXC Technology 600|Rainguard Water Sealers 600]],9,,,
9,,June 25,,{{color box|lightblue|R|border=silver}} [[Road America]],,2017,,"[[Elkhart Lake, Wisconsin]]",,[[Kohler Grand Prix]],10,,,
10,,July 9,,{{Color box|white|O|border=silver}} [[Iowa Speedway]],,2017,,"[[Newton, Iowa]]",,[[Iowa Corn 300]],11,,,
11,,July 16,,{{Color box|peachpuff|S|border=silver}} [[Exhibition Place]],,2017,,"[[Toronto, Ontario]]",,[[Honda Indy Toronto]],12,,,
12,,July 30,,{{color box|lightblue|R|border=silver}} [[Mid-Ohio Sports Car Course]],,2017,,"[[Lexington, Ohio]]",,[[Honda Indy 200]],13,,,
13,,August 20,,{{Color box|white|O|border=silver}} [[Pocono Raceway]],,2017,,"[[Long Pond, Pennsylvania]]",,[[ABC Supply 500]],14,,,
14,,August 26,,{{Color box|white|O|border=silver}} [[Gateway Motorsports Park]],,2017,,"[[Madison, Illinois]]",,[[Bommarito Automotive Group 500|Bommarito Automotive Group 500 presented by Valvoline]],15,,,
15,,September 3,,{{color box|lightblue|R|border=silver}} [[Watkins Glen International]],,2017,,"[[Watkins Glen, New York]]",,[[Grand Prix at The Glen]],16,,,
16,,September 17,,{{color box|lightblue|R|border=silver}} [[Sonoma Raceway]],,2017,,"[[Sonoma, California]]",,[[GoPro Grand Prix of Sonoma]],17,,,
0,,March 11,,"{{Color box|peachpuff|S|border=silver}} [[St. Petersburg, Florida|Streets of St. Petersburg]]",,2018,,"[[St. Petersburg, Florida]]",,[[Firestone Grand Prix of St. Petersburg]],1,,,
1,,April 7,,{{Color box|white|O|border=silver}} [[ISM Raceway]],,2018,,"[[Avondale, Arizona]]",,[[Desert Diamond West Valley Phoenix Grand Prix]],2,,,
2,,April 15,,"{{Color box|peachpuff|S|border=silver}} [[Long Beach, California|Streets of Long Beach]]",,2018,,"[[Long Beach, California]]",,[[Grand Prix of Long Beach|Toyota Grand Prix of Long Beach]],3,,,
3,,April 22/23*,,{{Color box|lightblue|R|border=silver}} [[Barber Motorsports Park]],,2018,,"[[Birmingham, Alabama]]",,[[Honda Indy Grand Prix of Alabama]],4,,,
4,,May 12,,{{Color box|lightblue|R|border=silver}} [[Indianapolis Motor Speedway|Indianapolis Motor Speedway Road Course]],,2018,,"[[Speedway, Indiana]]",,[[IndyCar Grand Prix]],5,,,
5,,May 27,,{{Color box|white|O|border=silver}} [[Indianapolis Motor Speedway]],,2018,,"[[Speedway, Indiana]]",,[[2018 Indianapolis 500|102nd Indianapolis 500 presented by PennGrade Motor Oil]],6,,,
6,,June 2,,{{Color box|peachpuff|S|border=silver}} [[Detroit Belle Isle street circuit|Belle Isle Park]],,2018,,"[[Detroit|Detroit, Michigan]]",,[[Detroit Grand Prix (IndyCar)|Chevrolet Detroit Grand Prix presented by Lear Corporation]],7,,,
7,,June 3,,{{Color box|peachpuff|S|border=silver}} [[Detroit Belle Isle street circuit|Belle Isle Park]],,2018,,"[[Detroit|Detroit, Michigan]]",,[[Detroit Grand Prix (IndyCar)|Chevrolet Detroit Grand Prix presented by Lear Corporation]],8,,,
8,,June 9,,{{Color box|white|O|border=silver}} [[Texas Motor Speedway]],,2018,,"[[Fort Worth, Texas]]",,[[DXC Technology 600]],9,,,
9,,June 24,,{{Color box|lightblue|R|border=silver}} [[Road America]],,2018,,"[[Elkhart Lake, Wisconsin]]",,[[Kohler Grand Prix]],10,,,
10,,July 8,,{{Color box|white|O|border=silver}} [[Iowa Speedway]],,2018,,"[[Newton, Iowa]]",,[[Iowa Corn 300]],11,,,
11,,July 15,,{{Color box|peachpuff|S|border=silver}} [[Exhibition Place]],,2018,,"[[Toronto, Ontario]], [[Canada]]",,[[Honda Indy Toronto]],12,,,
12,,July 29,,{{Color box|lightblue|R|border=silver}} [[Mid-Ohio Sports Car Course]],,2018,,"[[Lexington, Ohio]]",,[[Honda Indy 200|Honda Indy 200 at Mid-Ohio]],13,,,
13,,August 19,,{{Color box|white|O|border=silver}} [[Pocono Raceway]],,2018,,"[[Long Pond, Pennsylvania]]",,[[ABC Supply 500]],14,,,
14,,August 25,,{{Color box|white|O|border=silver}} [[Gateway Motorsports Park]],,2018,,"[[Madison, Illinois]]",,[[Bommarito Automotive Group 500|Bommarito Automotive Group 500 presented by Valvoline]],15,,,
15,,September 2,,{{Color box|lightblue|R|border=silver}} [[Portland International Raceway]],,2018,,"[[Portland, Oregon]]",,[[Grand Prix of Portland]],16,,,
16,,September 16,,{{Color box|lightblue|R|border=silver}} [[Sonoma Raceway]],,2018,,"[[Sonoma, California]]",,[[Indycar Grand Prix of Sonoma]],17,,,
0,,March 10,[[Grand Prix of St. Petersburg|Firestone Grand Prix of St. Petersburg]],"{{Color box|peachpuff|S|border=silver}} [[St. Petersburg, Florida|Streets of St. Petersburg]]",,2019,,"[[St. Petersburg, Florida]]",,,1,,,
1,,March 24,"[[IndyCar Classic]]<ref>{{cite web|url=http://www.circuitoftheamericas.com/indy|title=IndyCar Classic March 22–24, 2019|first=Circuit of The|last=Americas|date=January 27, 2019|website=Circuit of The Americas|access-date=January 28, 2019}}</ref><ref>{{cite web|url=https://racer.com/2018/09/04/cota-to-join-17-race-2019-indycar-schedule/|title=COTA to join 17-race 2019 IndyCar schedule|date=September 4, 2018|website=racer.com|access-date=January 28, 2019}}</ref>",{{Color box|lightblue|R|border=silver}} [[Circuit of the Americas]],,2019,,"[[Austin, Texas]]",,,2,,,
2,,April 7,[[Honda Indy Grand Prix of Alabama|Honda Indy Grand Prix of Alabama presented by AmFirst]],{{Color box|lightblue|R|border=silver}} [[Barber Motorsports Park]],,2019,,"[[Birmingham, Alabama]]",,,3,,,
3,,April 14,"[[Grand Prix of Long Beach|Acura Grand Prix of Long Beach]]<ref>{{cite web|url=https://racer.com/2018/08/16/toyota-ends-44-year-title-sponsorship-of-long-beach-gp/|title=Toyota ends 44-year title sponsorship of Long Beach GP|date=August 16, 2018|website=racer.com|access-date=January 28, 2019}}</ref>",{{Color box|peachpuff|S|border=silver}} [[Grand Prix of Long Beach|Streets of Long Beach]],,2019,,"[[Long Beach, California]]",,,4,,,
4,,May 11,[[IndyCar Grand Prix]],{{Color box|lightblue|R|border=silver}} [[Indianapolis Motor Speedway|Indianapolis Motor Speedway Road Course]],,2019,,"[[Speedway, Indiana]]",,,5,,,
5,,May 26,"[[2019 Indianapolis 500|103rd Running of the Indianapolis 500 presented by Gainbridge]]<ref>{{cite web|url=https://racer.com/2019/01/31/gainbridge-financial-services-to-be-presenting-sponsor-of-indy-500/|title=Gainbridge financial services to be presenting sponsor of Indy 500|date=January 31, 2019|access-date=May 27, 2019}}</ref>",{{Color box|white|O|border=silver}} [[Indianapolis Motor Speedway]],,2019,,"[[Speedway, Indiana]]",,,6,,,
6,,June 1,[[Detroit Grand Prix (IndyCar)|Chevrolet Detroit Grand Prix presented by Lear Corporation]],{{Color box|peachpuff|S|border=silver}} [[Detroit Belle Isle street circuit|The Raceway on Belle Isle]],,2019,,"[[Detroit|Detroit, Michigan]]",,,7,,,
7,,June 2,[[Detroit Grand Prix (IndyCar)|Chevrolet Detroit Grand Prix presented by Lear Corporation]],{{Color box|peachpuff|S|border=silver}} [[Detroit Belle Isle street circuit|The Raceway on Belle Isle]],,2019,,"[[Detroit|Detroit, Michigan]]",,,8,,,
